A0A202FU22,A0A1D8PCR4,Q6FXZ9
A0A202FUD8,A0A1D8PCR4,Q6FXZ9
A0A202G3V0,A0A1D8PCR4,Q6FV11
A0A202FV23,Q59PR7,Q6FTX2
A0A202FW41,A0A1D8PIJ2,Q6FVW5
A0A202FWP4,A0A1D8PM94,Q6FPK0
A0A202FY92,Q59PT7,Q6FJ60
A0A202G0Q9,Q5AK46,Q6FW05
A0A202G1A3,A0A1D8PD11,NA
A0A202G1L2,Q5AI00,Q6FLX7
A0A202G1H1,Q5AHI3,NA
A0A202G1V1,Q04802,NA
A0A202G2B4,A0A1D8PT27,Q6FUL9
A0A202G2H5,A0A1D8PCJ0,Q6FMC5
A0A202G2I2,P83776,Q6FXT8
A0A202G2T6,A0A1D8PDH0,Q6FTJ9
A0A202G2Q3,A0A1D8PI00,Q6FT35
A0A202G343,Q5A7P7,Q6FSD5
A0A202G2W8,A0A1D8PIA3,Q6FRP5
A0A202G3D1,A0A1D8PI19,Q6FQA3
A0A202G3D3,Q5ABD3,Q6FMQ0
A0A202G383,Q5ABD3,Q6FMQ0
A0A202G398,Q59NC4,Q6FR31
A0A202G3U3,Q5AKX8,Q6FM61
A0A202G5Z6,Q5AKX8,Q6FM61
A0A202GFC0,Q5AKX8,Q6FM61
A0A202G4C7,RPS26A,Q6FN77
A0A202G4G0,Q5AM84,Q6FTU2
A0A202G4F5,A0A1D8PK61,Q6FVG8
A0A202G4F2,A0A1D8PPI6,NA
A0A202G4Q0,Q59MZ8,Q6FPG2
A0A202G4R9,A0A1D8PPX6,Q6FIJ0
A0A202G562,A0A1D8PQA0,Q6FRY8
A0A202G4Z9,A0A1D8PS68,Q6FVD9
A0A202G593,A0A1D8PI15,Q6FJN5
A0A202G5B9,Q59S06,Q6FQ21
A0A202G5D8,Q5AGX4,Q6FQG0
A0A202G5Q4,A0A1D8PD55,Q6FP79
A0A202G5T6,Q59VR3,Q6FK71
A0A202G5X4,Q5AND9,Q6FNU1
A0A202GCQ2,Q5AND9,Q6FQS5
A0A202G619,A0A1D8PQI4,Q6FL81
A0A202G632,A0A1D8PHH4,Q6FJZ0
A0A202G6A5,Q5AFI4,Q6FPX2
A0A202G6G8,A0A1D8PM75,Q6FXZ0
A0A202G6F9,Q59SS1,Q6FX32
A0A202G6K1,A0A1D8PQJ5,Q6FNU3
A0A202G6U4,Q5AF95,Q6FPT7
A0A202G6Y1,A0A1D8PT99,Q6FKF3
A0A202G6Y5,O13318,F2Z613
A0A202G782,A0A1D8PSY1,Q6FMT6
A0A202G7B7,A0A1D8PDP5,Q6FM52
A0A202G788,Q5AJA5,Q6FU15
A0A202G777,Q5AJ84,NA
A0A202G7F2,Q5A8W9,Q6FVC6
A0A202G7C8,Q5AHA6,Q6FSW0
A0A202G7C2,Q59UZ4,NA
A0A202G7D1,A0A1D8PS61,NA
A0A202G7G5,A0A1D8PI86,Q6FL95
A0A202G7L2,A0A1D8PF30,Q6FLM0
A0A202G7I8,Q59WK2,Q6FWQ3
A0A202G7R8,A0A1D8PCR9,Q6FLX1
A0A202G861,Q5AJY2,Q6FXQ1
A0A202G839,Q59VG1,Q6FNT3
A0A202G8H3,Q5A2V2,Q6FML6
A0A202G8E8,Q5A7S4,NA
A0A202G8V4,Q5A937,Q6FXF9
A0A202G8T8,Q59N42,Q6FN79
A0A202G9F1,P42800,Q6FQI1
A0A202G9F2,A0A1D8PU54,NA
A0A202G9H4,Q5A4L1,NA
A0A202G9U4,A0A1D8PRJ5,Q6FS73
A0A202GA15,A0A1D8PSK2,Q6FSL2
A0A202G9X9,Q59T80,Q6FWK2
A0A202GA62,A0A1D8PGG3,Q6FUP7
A0A202GA68,Q59ZW9,Q6FT88
A0A202GAC4,A0A1D8PRR5,Q6FWJ8
A0A202GAE4,A0A1D8PMH8,Q6FWH3
A0A202GAH0,A0A1D8PQQ7,Q6FKT8
A0A202GAM8,Q5AEN1,Q6FMG7
A0A202GAU6,Q59YE8,Q6FVM2
A0A202GB08,A0A1D8PSC6,Q6FKV9
A0A202GBA2,Q59MQ8,Q6FQ85
A0A202GB71,Q5AHE2,Q6FW03
A0A202GBE2,A0A1D8PEI2,Q6FKI1
A0A202GBQ8,A0A1D8PF54,Q6FXE9
A0A202GBY7,Q59VZ0,Q6FY41
A0A202GC33,Q59LU0,Q6FLF3
A0A202GC90,A0A1D8PF45,F2Z629
A0A202GCG1,A0A1D8PHQ0,Q6FTE6
A0A202GCR5,A0A1D8PHP8,Q6FKX9
A0A202GCV7,A0A1D8PP14,Q6FRG6
A0A202GD18,Q5AGC1,Q6FJ55
A0A202GD31,Q59WB3,Q6FLI0
A0A202GD50,A0A1D8PEI6,Q6FPK4
A0A202GD87,A0A1D8PSY2,Q6FWX6
A0A202GDF1,Q59MV9,Q6FL28
A0A202GDC8,Q59QN6,Q6FNX6
A0A202GDK5,Q5A4M8,Q6FLQ4
A0A202GDK1,A0A1D8PPN6,Q6FS03
A0A202GDL2,Q59QC1,Q6FMP3
A0A202GDQ9,Q59N64,NA
A0A202GDX1,A0A1D8PS50,Q6FVC0
A0A202GE07,Q59WW8,Q6FWZ5
A0A202GE63,Q59NP1,Q6FVX8
A0A202GEK1,A0A1D8PDU9,Q6FLS3
A0A202GEJ5,Q5A785,NA
A0A202GEQ1,A0A1D8PUD2,Q6FWM5
A0A202GEV3,Q5AB84,Q6FVB4
A0A202GET1,Q5AB86,Q6FT78
A0A202GF30,Q5AD50,Q6FNZ9
A0A202GFD5,Q5AKX2,Q6FLS0
